id,nome,descrizione,immagine_url,immagine_nome,gruppo_muscolare,attrezzatura,is_isometric,equipment_type_id,status,created_by_user_id
136,"Plank (sec)","Esercizio isometrico fondamentale per il core. Mantieni la posizione di plank con il corpo dritto.",NULL,plank_core.gif,Core,NULL,1,NULL,approved,NULL
137,"Side Plank (sec)","Esercizio isometrico per gli obliqui. Mantieni la posizione di plank laterale con il corpo dritto.",NULL,side_plank_core.gif,Core,NULL,1,NULL,approved,NULL
138,"Dead Bug","Esercizio per il core. Sdraiati, estendi alternativamente braccia e gambe opposte mantenendo la schiena piatta.",NULL,dead_bug_core.gif,Core,NULL,0,NULL,approved,NULL
139,"Bird Dog","Esercizio per il core. In quadrupedia, estendi braccio e gamba opposti mantenendo l'equilibrio.",NULL,bird_dog.gif,Core,NULL,0,NULL,approved,NULL
140,"Pallof Press","Esercizio anti-rotazione per il core. Ai cavi, spingi il manubrio in avanti resistendo alla rotazione.",NULL,pallof_press.gif,Core,NULL,0,NULL,approved,NULL
141,Woodchopper,"Esercizio per il core. Ai cavi, ruota il busto portando il cavo da un lato all'altro.",NULL,woodchopper.gif,Core,NULL,0,NULL,approved,NULL
142,"Russian Twist","Esercizio per gli obliqui. Seduto, ruota il busto da un lato all'altro mantenendo le gambe sollevate.",NULL,russian_twist_core.gif,Core,NULL,0,NULL,approved,NULL
143,"Cable Rotation","Esercizio per il core. Ai cavi, ruota il busto contro la resistenza del cavo.",NULL,cable_rotation.gif,Core,NULL,0,NULL,approved,NULL
144,"Ab Wheel Rollout","Esercizio avanzato per il core. In ginocchio, rotola la ruota in avanti e poi torna alla posizione iniziale.",NULL,ab_wheel_core.gif,Core,NULL,0,NULL,approved,NULL
145,"Hollow Hold (sec)","Esercizio isometrico per il core. Sdraiati, solleva gambe e spalle dal pavimento mantenendo la posizione.",NULL,hollow_hold.gif,Core,NULL,1,NULL,approved,NULL
146,"Panca Piana con Bilanciere","Esercizio fondamentale per il petto. Sdraiati su una panca piana, afferra il bilanciere con presa leggermente più larga delle spalle e abbassalo verso il petto, poi spingi verso l'alto.",NULL,panca_piana_bilanciere.gif,Petto,NULL,0,NULL,approved,NULL
147,"Panca Inclinata con Bilanciere","Variante della panca piana con panca inclinata a 30-45 gradi per concentrare il lavoro sulla parte superiore del petto.",NULL,panca_inclinata_bilanciere.gif,Petto,NULL,0,NULL,approved,NULL
148,"Panca Declinata con Bilanciere","Variante della panca piana con panca declinata per concentrare il lavoro sulla parte inferiore del petto.",NULL,panca_declinata_bilanciere.gif,Petto,NULL,0,NULL,approved,NULL
149,"Croci con Manubri","Esercizio di isolamento per il petto. Sdraiati su panca, tieni i manubri sopra il petto e abbassali lateralmente in un movimento ad arco.",NULL,croci_manubri.gif,Petto,NULL,0,NULL,approved,NULL
150,"Dip alle Parallele","Esercizio a corpo libero per petto e tricipiti. Sollevati sulle parallele e abbassa il corpo piegando i gomiti, poi risali.",NULL,dip_parallele.gif,Petto,NULL,0,NULL,approved,NULL
151,Push-up,"Esercizio a corpo libero fondamentale. In posizione plank, abbassa il corpo piegando i gomiti e poi risali.",NULL,push_up.gif,Petto,NULL,0,NULL,approved,NULL
152,"Panca Piana con Manubri","Variante della panca piana usando manubri invece del bilanciere per maggiore libertà di movimento.",NULL,panca_piana_manubri.gif,Petto,NULL,0,NULL,approved,NULL
153,"Croci ai Cavi","Esercizio di isolamento usando i cavi. In piedi, tira i cavi verso il centro del petto in un movimento ad arco.",NULL,croci_cavi.gif,Petto,NULL,0,NULL,approved,NULL
154,"Chest Press Machine","Esercizio su macchina per il petto. Siediti e spingi le leve in avanti, poi controlla il ritorno.",NULL,chest_press_machine.gif,Petto,NULL,0,NULL,approved,NULL
155,"Pec Deck","Macchina per croci che isola il lavoro del petto. Siediti e porta le braccia verso il centro.",NULL,pec_deck.gif,Petto,NULL,0,NULL,approved,NULL
156,"Stacco da Terra","Esercizio fondamentale per schiena e gambe. In piedi, afferra il bilanciere e sollevalo mantenendo la schiena dritta.",NULL,stacco_terra.gif,Schiena,NULL,0,NULL,approved,NULL
157,"Rematore con Bilanciere","Esercizio per la schiena. Piegato in avanti, tira il bilanciere verso l'addome mantenendo i gomiti vicini al corpo.",NULL,rematore_bilanciere.gif,Schiena,NULL,0,NULL,approved,NULL
158,"Trazioni alla Sbarra","Esercizio a corpo libero per la schiena. Appeso alla sbarra, tira il corpo verso l'alto fino a toccare la sbarra con il petto.",NULL,trazioni_sbarra.gif,Schiena,NULL,0,NULL,approved,NULL
159,"Lat Machine","Esercizio su macchina per la schiena. Siediti e tira la barra verso il petto, mantenendo i gomiti vicini al corpo.",NULL,lat_machine.gif,Schiena,NULL,0,NULL,approved,NULL
160,"Rematore con Manubri","Variante del rematore usando un manubrio. Appoggia una mano su una panca e tira il manubrio verso l'anca.",NULL,rematore_manubri.gif,Schiena,NULL,0,NULL,approved,NULL
